source	origin_id	cicp_primaries	reason
1519_nature_orange-rose-vase_colorado_ip17pro_iso200-f1p8_img-2700_3961x4825.hdr.png	1519	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1520_nature_tulips-in-garden_notre-dame-versailles-france_ip15pro_iso80-f1p8_img-3545_4284x5712.hdr.png	1520	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1521_nature_potted-tulips-garden_notre-dame-versailles-france_ip15pro_iso80-f1p8_img-3547_4284x5712.hdr.png	1521	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1522_nature_water-lilies-pond_colorado_ip13pro_iso50-f1p5_img-3764_4032x3024.hdr.png	1522	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1523_nature_yellow-flowers-garden_colorado_ip13pro_iso50-f1p5_img-3767_3024x4032.hdr.png	1523	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1524_nature_yellow-flowers-garden_colorado_ip13pro_iso50-f1p5_img-3841_3024x4032.hdr.png	1524	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1525_nature_wildflowers-in-garden_colorado_ip13pro_iso50-f1p5_img-3861_3024x4032.hdr.png	1525	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1526_nature_pink-flowers-garden_colorado_ip13pro_iso50-f1p5_img-4543_3024x4032.hdr.png	1526	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1527_nature_mountain-wildflowers-landscape_stikine-region-canada_ip16pro_iso100-f1p8_img-4768_4284x5712.hdr.png	1527	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1528_nature_pink-blossom-branch_kawazu-japan_ip16pro_iso80-f1p8_img-4931_5712x4284.hdr.png	1528	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1530_nature_whale-tail-ocean_ip13pro_iso32-f2p8_img-5574_3024x4032.hdr.png	1530	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1531_nature_red-poppy-flowers_taos-new-mexico_ip17pro_iso80-f1p8_img-6189_4284x5712.hdr.png	1531	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1532_nature_red-poppy-flowers_taos-new-mexico_ip17pro_iso80-f1p8_img-6194_4284x5712.hdr.png	1532	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1533_nature_purple-water-lily_koyama-kamiuchikawaracho-kyoto-japan_ip13pro_iso125-f2p8_img-6205_3024x4032.hdr.png	1533	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1534_nature_red-flowers-closeup_ketchikan-alaska_ip16pro_iso125-f1p8_img-6286_3024x4032.hdr.png	1534	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1536_nature_purple-flowers-walkway_seward-alaska_ip16pro_iso80-f1p8_img-8763_4284x5712.hdr.png	1536	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1537_nature_purple-flowers-closeup_seward-alaska_ip16pro_iso100-f1p8_img-8764_4284x5712.hdr.png	1537	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1539_nature_legs-in-water_felipe-carrillo-puerto-mexico_ip13pro_iso32-f1p8_img-8809_3024x4032.hdr.png	1539	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1540_nature_purple-flowers-garden_belltown-seattle-washington_ip16pro_iso100-f1p8_img-9109_4284x5712.hdr.png	1540	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1541_nature_blue-wildflower-grass_snaefellsbaer-iceland_ip16pro_iso64-f1p8_img-9110_3024x4032.hdr.png	1541	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1542_nature_orange-lily-flower_belltown-seattle-washington_ip16pro_iso80-f1p8_img-9149_4284x5712.hdr.png	1542	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1543_nature_water-lilies-pond_miyuki-beppu-japan_ip16pro_iso80-f1p8_img-9522_4284x5712.hdr.png	1543	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1544_nature_purple-water-lily-flower_miyuki-beppu-japan_ip16pro_iso64-f1p8_img-9550_3024x4032.hdr.png	1544	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1545_nature_stalactite-cave-lake_playa-del-carmen-mexico_ip13pro_iso1600-f1p5_img-9591_4032x3024.hdr.png	1545	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1546_nature_underground-cave-lake_playa-del-carmen-mexico_ip13pro_iso2000-f1p5_img-9608_3024x4032.hdr.png	1546	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1547_nature_orange-flowers-garden_colorado_ip16pro_iso80-f1p8_img-9652_4284x5712.hdr.png	1547	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1246_interiors_woven-roof-structure_azulik-city-arts-francisco-uh-may_ip13pro_iso32-f1p8_img-8944_4032x3024.hdr.png	1246	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
1640_food_birthday-cake-table_colorado_ip16pro_iso125-f1p8_img-2666_4284x5712.hdr.png	1640	12 (Display-P3)	zenpng does not accept Display-P3 primaries; zencodecs negotiation therefore targets BT.709, and converting a PQ source to other primaries needs a peak luminance it has not got (HdrSourceRequiresPeak)
